,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Sales_Boxcox,VisSqrt
0,FDA15,9.3,Low Fat,Dairy,249.8092,OUT049,1999,Medium,Tier 1,Supermarket Type1,3735.138,59.19294948379991,0.12667794204201455
1,DRC01,5.92,Regular,Soft Drinks,48.2692,OUT018,2009,Medium,Tier 3,Supermarket Type2,443.4228,24.582341188860386,0.13884601542716304
2,FDN15,17.5,Low Fat,Meat,141.618,OUT049,1999,Medium,Tier 1,Supermarket Type1,2097.27,46.87004928461577,0.12946070832495857
3,FDO10,13.65,Regular,Snack Foods,57.6588,OUT013,1987,High,Tier 3,Supermarket Type1,343.5528,22.03666787755406,0.1128764324383084
4,FDP10,11.94125,Low Fat,Snack Foods,107.7622,OUT027,1985,Medium,Tier 3,Supermarket Type3,4022.7636,60.98507901544353,0.3570292102895784
5,FDH17,16.2,Regular,Frozen Foods,96.9726,OUT045,2002,Medium,Tier 2,Supermarket Type1,1076.5986,35.65946048485758,0.1291786127809089
6,FDU28,19.2,Regular,Frozen Foods,187.8214,OUT017,2007,Medium,Tier 2,Supermarket Type1,4710.535,64.9727867650236,0.3073265201703231
7,FDA03,18.5,Regular,Dairy,144.1102,OUT046,1997,Small,Tier 1,Supermarket Type1,2187.153,47.67658432918187,0.2132223557697457
8,FDX32,15.1,Regular,Fruits and Vegetables,145.4786,OUT049,1999,Medium,Tier 1,Supermarket Type1,1589.2646,41.85502925717032,0.31624911067068634
9,FDS46,17.6,Regular,Snack Foods,119.6782,OUT046,1997,Small,Tier 1,Supermarket Type1,2145.2076,47.302787747443624,0.21738750654073938
10,FDF32,16.35,Low Fat,Fruits and Vegetables,196.4426,OUT013,1987,High,Tier 3,Supermarket Type1,1977.426,45.76090352125423,0.2608146851693746
11,FDP49,9.0,Regular,Breakfast,56.3614,OUT046,1997,Small,Tier 1,Supermarket Type1,1547.3192,41.39915260047369,0.26284779055567503
12,NCB42,11.8,Low Fat,Health and Hygiene,115.3492,OUT018,2009,Medium,Tier 3,Supermarket Type2,1621.8888,42.20451234820069,0.09271489092912745
13,FDP49,9.0,Regular,Breakfast,54.3614,OUT049,1999,Medium,Tier 1,Supermarket Type1,718.3982,30.13675055026868,0.2630520404786855
14,DRI11,11.94125,Low Fat,Hard Drinks,113.2834,OUT027,1985,Medium,Tier 3,Supermarket Type3,2303.668,48.69233303758291,0.18503427250106938
15,FDU02,13.35,Low Fat,Dairy,230.5352,OUT035,2004,Small,Tier 2,Supermarket Type1,2748.4224,52.30311833398158,0.32014390514267177
16,FDN22,18.85,Regular,Snack Foods,250.8724,OUT013,1987,High,Tier 3,Supermarket Type1,3775.086,59.4468130922373,0.3717395284335525
17,FDW12,11.94125,Regular,Baking Goods,144.5444,OUT027,1985,Medium,Tier 3,Supermarket Type3,4064.0432,61.23574638670139,0.1881486725969652
18,NCB30,14.6,Low Fat,Household,196.5084,OUT035,2004,Small,Tier 2,Supermarket Type1,1587.2672,41.83348967316884,0.16030637541907058
19,FDC37,11.94125,Low Fat,Baking Goods,107.6938,OUT019,1985,Small,Tier 1,Grocery Store,214.3876,17.943273517374003,0.2399103957730886
20,FDR28,13.85,Regular,Frozen Foods,165.021,OUT046,1997,Small,Tier 1,Supermarket Type1,4078.025,61.320294909539264,0.16092384845012875
21,NCD06,13.0,Low Fat,Household,45.906,OUT017,2007,Small,Tier 2,Supermarket Type1,838.908,32.15273563640433,0.31604920977594614
22,FDV10,7.645,Regular,Snack Foods,42.3112,OUT035,2004,Small,Tier 2,Supermarket Type1,1065.28,35.503950710371385,0.2582507250715862
23,DRJ59,11.65,low fat,Hard Drinks,39.1164,OUT013,1987,High,Tier 3,Supermarket Type1,308.9312,21.048627236643526,0.13912631670535952
24,FDE51,5.925,Regular,Dairy,45.5086,OUT010,1998,High,Tier 3,Grocery Store,178.4344,16.540446195867172,0.40182898601270667
25,FDC14,11.94125,Regular,Canned,43.6454,OUT019,1985,Small,Tier 1,Grocery Store,125.8362,14.130625409590277,0.2687411412493443
26,FDV38,19.25,Low Fat,Dairy,55.7956,OUT010,1998,Small,Tier 3,Grocery Store,163.7868,15.919051176671365,0.41273302630150643
27,NCS17,18.6,Low Fat,Health and Hygiene,96.4436,OUT018,2009,Medium,Tier 3,Supermarket Type2,2741.7644,52.251823839001815,0.28430506854433674
28,DRH01,17.5,Low Fat,Soft Drinks,174.8738,OUT046,1997,Small,Tier 1,Supermarket Type1,2085.2856,46.76091688417211,0.31289619524692214
29,NCX29,10.0,Low Fat,Health and Hygiene,146.7102,OUT049,1999,Medium,Tier 1,Supermarket Type1,3791.0652,59.5478961731059,0.2988162261323839
30,FDV20,11.94125,Regular,Fruits and Vegetables,128.0678,OUT027,1985,Medium,Tier 3,Supermarket Type3,2797.6916,52.68034540875549,0.2439504293908908
31,DRZ11,8.85,Regular,Soft Drinks,122.5388,OUT018,2009,Medium,Tier 3,Supermarket Type2,1609.9044,42.076637218205846,0.336338955519577
32,FDX10,11.94125,Regular,Snack Foods,36.9874,OUT027,1985,Medium,Tier 3,Supermarket Type3,388.1614,23.223317352711188,0.35087241698372357
33,FDB34,11.94125,Low Fat,Snack Foods,87.6198,OUT027,1985,Medium,Tier 3,Supermarket Type3,2180.495,47.617547500549456,0.16272969612212762
34,FDU02,13.35,Low Fat,Dairy,230.6352,OUT046,1997,Small,Tier 1,Supermarket Type1,3435.528,57.23349949518135,0.3201741775971323
35,FDK43,9.8,Low Fat,Meat,126.002,OUT013,1987,High,Tier 3,Supermarket Type1,2150.534,47.35050152074503,0.1637633353348667
36,FDA46,13.6,Low Fat,Snack Foods,192.9136,OUT049,1999,Medium,Tier 1,Supermarket Type1,2527.3768,50.55743097971919,0.34324677420188526
37,FDC02,21.35,Low Fat,Canned,259.9278,OUT018,2009,Medium,Tier 3,Supermarket Type2,6768.5228,75.10362887038005,0.2628741733225233
38,FDL50,12.15,Regular,Canned,126.5046,OUT013,1987,High,Tier 3,Supermarket Type1,373.5138,22.84337436627844,0.2056158238074103
39,FDM39,6.42,LF,Dairy,178.1002,OUT010,1998,High,Tier 3,Grocery Store,358.2004,22.43623826576055,0.29916371103461065
40,FDV49,10.0,Low Fat,Canned,265.2226,OUT045,2002,High,Tier 2,Supermarket Type1,5815.0972,70.68748356217253,0.16087130570738836
41,FDL12,15.85,Regular,Baking Goods,60.622,OUT046,1997,Small,Tier 1,Supermarket Type1,2576.646,50.95441738288574,0.3487588292789159
42,NCL17,7.39,Low Fat,Health and Hygiene,143.8812,OUT046,1997,Small,Tier 1,Supermarket Type1,3134.5864,55.15652445606474,0.2603453706137292
43,FDM40,10.195,Low Fat,Frozen Foods,141.5154,OUT013,1987,High,Tier 3,Supermarket Type1,850.8924,32.3432202220966,0.3997547410600655
44,FDR13,9.895,Regular,Canned,117.0492,OUT013,1987,High,Tier 3,Supermarket Type1,810.9444,31.70167041778743,0.16940168830327518
45,FDA43,10.895,Low Fat,Fruits and Vegetables,196.3794,OUT017,2007,High,Tier 2,Supermarket Type1,3121.2704,55.06184529340175,0.25503250969239194
46,NCP18,12.15,Low Fat,Household,151.4708,OUT017,2007,High,Tier 2,Supermarket Type1,4815.0656,65.546779517866,0.16958777373383968
47,FDK21,7.905,Low Fat,Snack Foods,249.0408,OUT018,2009,Medium,Tier 3,Supermarket Type2,6258.52,72.7927214010588,0.10026517341529909
48,NCX54,9.195,Low Fat,Household,106.1622,OUT045,2002,Medium,Tier 2,Supermarket Type1,2117.244,47.05108814686354,0.21944780244969417
49,DRK35,8.365,Low Fat,Hard Drinks,38.0506,OUT049,1999,Medium,Tier 1,Supermarket Type1,796.9626,31.472547927633517,0.2682502506988577
50,FDY21,15.1,Low Fat,Snack Foods,194.511,OUT046,1997,Small,Tier 1,Supermarket Type1,4910.275,66.0629606708873,0.41651086900584
51,FDI26,11.94125,Low Fat,Canned,180.0344,OUT019,1985,Small,Tier 1,Grocery Store,892.172,32.98699262851953,0.24714808718660963
52,FDV27,7.97,Regular,Meat,87.3514,OUT045,2002,Medium,Tier 2,Supermarket Type1,1062.6168,35.46721276059585,0.20017774851366474
53,FDF09,11.94125,Low Fat,Fruits and Vegetables,38.2848,OUT027,1985,Medium,Tier 3,Supermarket Type3,484.7024,25.530867531468363,0.10995487256142858
54,FDY40,11.94125,Regular,Frozen Foods,51.0692,OUT019,1985,Small,Tier 1,Grocery Store,147.8076,15.20086373201809,0.3876673703060396
55,FDY45,11.94125,Low Fat,Snack Foods,255.8356,OUT027,1985,Medium,Tier 3,Supermarket Type3,2543.356,50.686700382065,0.161293270163389
56,FDC46,17.7,LF,Snack Foods,185.4266,OUT010,1998,Medium,Tier 3,Grocery Store,184.4266,16.785603381658415,0.4416652872934435
57,FDH19,19.35,Low Fat,Meat,172.5738,OUT035,2004,Small,Tier 2,Supermarket Type1,4865.6664,65.8218866589517,0.1818851698187623
58,FDZ03,13.65,Regular,Dairy,186.024,OUT045,2002,Small,Tier 2,Supermarket Type1,1118.544,36.227158346744666,0.28097411802513056
59,DRH37,17.6,Low Fat,Soft Drinks,164.8526,OUT045,2002,Small,Tier 2,Supermarket Type1,2302.3364,48.680905034904505,0.20420762963219566
60,NCI17,8.645,Low Fat,Health and Hygiene,95.841,OUT046,1997,Small,Tier 1,Supermarket Type1,2027.361,46.22793425632301,0.3787118205179236
61,FDJ58,15.6,Regular,Snack Foods,170.1764,OUT046,1997,Small,Tier 1,Supermarket Type1,3435.528,57.23349949518135,0.32449356233984056
62,FDL12,15.85,Regular,Baking Goods,59.222,OUT013,1987,High,Tier 3,Supermarket Type1,599.22,27.926562683746855,0.3486136844703604
63,FDG02,7.855,Low Fat,Canned,189.6188,OUT017,2007,High,Tier 2,Supermarket Type1,2285.0256,48.53196989190793,0.10641833488642828
64,NCZ18,7.825,low fat,Household,254.3698,OUT049,1999,Medium,Tier 1,Supermarket Type1,5580.7356,69.53476385134054,0.43169103303172746
65,FDC29,8.39,Regular,Frozen Foods,114.0176,OUT046,1997,Small,Tier 1,Supermarket Type1,2290.352,48.5778697252256,0.15558168594021599
66,FDQ10,12.85,Low Fat,Snack Foods,172.3422,OUT049,1999,Medium,Tier 1,Supermarket Type1,1207.0954,37.38405038523497,0.1822932143553347
67,FDN48,11.94125,Low Fat,Baking Goods,89.9804,OUT019,1985,Small,Tier 1,Grocery Store,643.1628,28.77050607903131,0.3372244712354072
68,FDL04,19.0,Low Fat,Frozen Foods,104.9622,OUT017,2007,Small,Tier 2,Supermarket Type1,1587.933,41.84067138447421,0.3354944217121948
69,FDD58,7.76,Low Fat,Snack Foods,101.87,OUT046,1997,Small,Tier 1,Supermarket Type1,1697.79,43.00121009865626,0.24362315366155163
70,FDN04,11.8,reg,Frozen Foods,180.3344,OUT046,1997,Small,Tier 1,Supermarket Type1,1427.4752,40.05323508817133,0.11868890849611854
71,FDV45,16.75,low fat,Snack Foods,187.9556,OUT018,2009,Medium,Tier 3,Supermarket Type2,4693.89,64.8806664345423,0.21267567797000203
72,FDR12,11.94125,Regular,Baking Goods,171.3764,OUT027,1985,Medium,Tier 3,Supermarket Type3,3091.9752,54.85267374617073,0.17714977843621482
73,FDG20,15.5,Regular,Fruits and Vegetables,177.0028,OUT017,2007,Medium,Tier 2,Supermarket Type1,2479.4392,50.16658229589649,0.3555261734387498
74,FDZ55,6.055,Low Fat,Fruits and Vegetables,160.992,OUT035,2004,Small,Tier 2,Supermarket Type1,2716.464,52.056203497714655,0.1593860031495865
75,FDQ49,11.94125,Regular,Breakfast,155.963,OUT027,1985,Medium,Tier 3,Supermarket Type3,3285.723,56.21422795179542,0.1976301520517555
76,FDN33,6.305,Regular,Snack Foods,95.6436,OUT046,1997,Small,Tier 1,Supermarket Type1,661.8052,29.11782967264007,0.3508785601885644
77,FDN27,20.85,Low Fat,Meat,117.2808,OUT049,1999,Medium,Tier 1,Supermarket Type1,1523.3504,41.135234233320155,0.19905779562730017
78,FDW20,20.75,Low Fat,Fruits and Vegetables,122.173,OUT010,1998,Medium,Tier 3,Grocery Store,369.519,22.738169329700415,0.20105022506826498
79,DRG27,8.895,Low Fat,Dairy,39.9138,OUT049,1999,Medium,Tier 1,Supermarket Type1,690.4346,29.639702400557326,0.3244597216913064
80,DRI25,19.6,Low Fat,Soft Drinks,55.1614,OUT045,2002,Medium,Tier 2,Supermarket Type1,1381.535,39.518913267589284,0.18431005127230582
81,FDA44,19.7,Low Fat,Fruits and Vegetables,57.893,OUT035,2004,Small,Tier 2,Supermarket Type1,622.523,28.378673704443692,0.23067867695129518
82,NCR17,9.8,Low Fat,Health and Hygiene,114.5492,OUT035,2004,Small,Tier 2,Supermarket Type1,1274.3412,38.22817007420304,0.15613681820762199
83,FDU04,11.94125,Low Fat,Frozen Foods,120.0414,OUT019,1985,Small,Tier 1,Grocery Store,487.3656,25.59032810018851,0.09856264505379307
84,FDF41,12.15,Low Fat,Frozen Foods,246.046,OUT049,1999,Medium,Tier 1,Supermarket Type1,1231.73,37.69655909048783,0.36246898074180084
85,FDB56,8.75,Regular,Fruits and Vegetables,187.4556,OUT035,2004,Small,Tier 2,Supermarket Type1,3755.112,59.32008876230895,0.2731539675714047
86,NCP18,11.94125,Low Fat,Household,149.9708,OUT027,1985,Medium,Tier 3,Supermarket Type3,4363.6532,63.00988284317818,0.16870021043258956
87,FDB56,8.75,Regular,Fruits and Vegetables,187.8556,OUT046,1997,Small,Tier 1,Supermarket Type1,1314.2892,38.71672153860766,0.27317979610505605
88,FDT28,13.3,Low Fat,Frozen Foods,151.0708,OUT045,2002,Small,Tier 2,Supermarket Type1,1805.6496,44.09656278224383,0.2523788501439849
89,FDD10,11.94125,Regular,Snack Foods,178.5344,OUT027,1985,Medium,Tier 3,Supermarket Type3,2854.9504,53.11364990388766,0.21400427332181943
90,FDW57,8.31,Regular,Snack Foods,179.1028,OUT049,1999,Medium,Tier 1,Supermarket Type1,3896.2616,60.20691319609956,0.3403780589285978
91,DRB48,16.75,Regular,Soft Drinks,38.7822,OUT013,1987,High,Tier 3,Supermarket Type1,667.7974,29.228190243343967,0.15758428221113932
92,FDP09,19.75,Low Fat,Snack Foods,212.0902,OUT018,2009,Medium,Tier 3,Supermarket Type2,3185.853,55.518749283875565,0.18446655252375702
93,FDH14,17.1,Regular,Canned,141.1838,OUT013,1987,High,Tier 3,Supermarket Type1,2247.7408,48.20881455992129,0.21626280308920443
