,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
0,9.3,Low Fat,4.132214605540695,Dairy,249.8092,OUT049,1999,Medium,Tier 1,Supermarket Type1,8.22554004467553
1,5.92,Regular,3.9487795252013376,Soft Drinks,48.2692,OUT018,2009,Medium,Tier 3,Supermarket Type2,6.094523716699177
2,17.5,Low Fat,4.088755708997878,Meat,141.618,OUT049,1999,Medium,Tier 1,Supermarket Type1,7.648391777978466
6,13.65,Regular,4.362923153684317,Snack Foods,57.6588,OUT013,1987,High,Tier 3,Supermarket Type1,5.8393408116403505
7,11.94125,Low Fat,2.0598753580205247,Snack Foods,107.7622,OUT027,1985,Medium,Tier 3,Supermarket Type3,8.299724408105405
8,16.2,Regular,4.093118474175339,Frozen Foods,96.9726,OUT045,2002,Medium,Tier 2,Supermarket Type1,6.981561905735894
9,19.2,Regular,2.3596890259651624,Frozen Foods,187.8214,OUT017,2007,Medium,Tier 2,Supermarket Type1,8.457556768670226
11,18.5,Regular,3.0908394679612456,Dairy,144.1102,OUT046,1997,Small,Tier 1,Supermarket Type1,7.690355977077498
12,15.1,Regular,2.3024501021057255,Fruits and Vegetables,145.4786,OUT049,1999,Medium,Tier 1,Supermarket Type1,7.371026672497617
13,17.6,Regular,3.052147547120498,Snack Foods,119.6782,OUT046,1997,Small,Tier 1,Supermarket Type1,7.670991609895707
14,16.35,Low Fat,2.6878902847002086,Fruits and Vegetables,196.4426,OUT013,1987,High,Tier 3,Supermarket Type1,7.5895512779555325
15,9.0,Regular,2.6723603149502786,Breakfast,56.3614,OUT046,1997,Small,Tier 1,Supermarket Type1,7.344279164130589
16,11.8,Low Fat,4.756452367227384,Health and Hygiene,115.3492,OUT018,2009,Medium,Tier 3,Supermarket Type2,7.391346674988575
17,9.0,Regular,2.670806787672063,Breakfast,54.3614,OUT049,1999,Medium,Tier 1,Supermarket Type1,6.577024011416922
18,11.94125,Low Fat,3.3744284285983803,Hard Drinks,113.2834,OUT027,1985,Medium,Tier 3,Supermarket Type3,7.742257914210557
19,13.35,Low Fat,2.2779693614077234,Dairy,230.5352,OUT035,2004,Small,Tier 2,Supermarket Type1,7.918782353320186
20,18.85,Regular,1.9791237246821762,Snack Foods,250.8724,OUT013,1987,High,Tier 3,Supermarket Type1,8.236178442880584
21,11.94125,Regular,3.341045633986017,Baking Goods,144.5444,OUT027,1985,Medium,Tier 3,Supermarket Type3,8.30993361912308
22,14.6,Low Fat,3.66133689672087,Household,196.5084,OUT035,2004,Small,Tier 2,Supermarket Type1,7.369769074344028
23,11.94125,Low Fat,2.854979552596853,Baking Goods,107.6938,OUT019,1985,Small,Tier 1,Grocery Store,5.367785591703195
24,13.85,Regular,3.653648033772376,Frozen Foods,165.021,OUT046,1997,Small,Tier 1,Supermarket Type1,8.313368081571715
25,13.0,Low Fat,2.303714700760734,Household,45.906,OUT017,2007,Small,Tier 2,Supermarket Type1,6.732101046104312
26,7.645,Regular,2.7076487267038427,Snack Foods,42.3112,OUT035,2004,Small,Tier 2,Supermarket Type1,6.97099295438666
27,11.65,low fat,3.9447460104834935,Hard Drinks,39.1164,OUT013,1987,High,Tier 3,Supermarket Type1,5.733118598385043
28,5.925,Regular,1.8234573776066596,Dairy,45.5086,OUT010,1998,High,Tier 3,Grocery Store,5.184221026669644
29,11.94125,Regular,2.6280133257533738,Canned,43.6454,OUT019,1985,Small,Tier 1,Grocery Store,4.83498106121843
30,19.25,Low Fat,1.7699086409283618,Dairy,55.7956,OUT010,1998,Small,Tier 3,Grocery Store,5.09856558209115
31,18.6,Low Fat,2.5154148646591183,Health and Hygiene,96.4436,OUT018,2009,Medium,Tier 3,Supermarket Type2,7.916356933746522
34,17.5,Low Fat,2.3237675760534655,Soft Drinks,174.8738,OUT046,1997,Small,Tier 1,Supermarket Type1,7.642661103269481
35,10.0,Low Fat,2.415853045745308,Health and Hygiene,146.7102,OUT049,1999,Medium,Tier 1,Supermarket Type1,8.240402313996771
36,11.94125,Regular,2.8215804651248373,Fruits and Vegetables,128.0678,OUT027,1985,Medium,Tier 3,Supermarket Type3,7.936549927563734
37,8.85,Regular,2.1792716626452857,Soft Drinks,122.5388,OUT018,2009,Medium,Tier 3,Supermarket Type2,7.383930077333526
38,11.94125,Regular,2.094665211939171,Snack Foods,36.9874,OUT027,1985,Medium,Tier 3,Supermarket Type3,5.96142123250928
39,11.94125,Low Fat,3.6313295213719607,Snack Foods,87.6198,OUT027,1985,Medium,Tier 3,Supermarket Type3,7.68730719422814
40,13.35,Low Fat,2.277780252555113,Dairy,230.6352,OUT046,1997,Small,Tier 1,Supermarket Type1,8.141925904634396
41,9.8,Low Fat,3.6186659412462197,Meat,126.002,OUT013,1987,High,Tier 3,Supermarket Type1,7.67347146237549
42,13.6,Low Fat,2.1386112643754553,Snack Foods,192.9136,OUT049,1999,Medium,Tier 1,Supermarket Type1,7.834937205888606
43,21.35,Low Fat,2.6721595794384823,Canned,259.9278,OUT018,2009,Medium,Tier 3,Supermarket Type2,8.820038144165636
44,12.15,Regular,3.1634915686377654,Canned,126.5046,OUT013,1987,High,Tier 3,Supermarket Type1,5.922954951681484
45,6.42,LF,2.413528653773328,Dairy,178.1002,OUT010,1998,High,Tier 3,Grocery Store,5.881092606320572
47,10.0,Low Fat,3.6543011541507098,Canned,265.2226,OUT045,2002,High,Tier 2,Supermarket Type1,8.668212780204295
